id,title,role,constituent,classification,medium,date
47019,Mirror Case,Artist,Lutf 'Ali Suratgar Shirazi,Container,"Ink, opaque watercolor, metallic pigment, and gold on papier mâché under a lacquered varnish; silvered glass and detailed leather",AH 1262 / 1845 C.E.
50010,Man Carrying a Cacao Pod,Culture,Aztec,Sculpture,"Volcanic stone, traces of red pigment",1440-1521
54748,"The Wounded Cuirassier, study (Le Cuirassier blessé quittant le feu, esquisse)",Artist,Théodore Géricault,Painting,Oil on canvas,1814
60140,Yoke,Culture,Totonac,Sculpture,Stone,700-900
84153,Funerary Mask,Culture,Paracas Cavernas,Masks,"Ceramic, resin, and pigments",300 B.C.E.-1
104783,Jar with Lid,,,Ceramic,Porcelain with under glaze cobalt decoration,late 19th century
118927,Life-Death Figure,Culture,Huastec,Sculpture,"Sandstone, traces of pigment",900-1250
124496,Tunic (Uncu),,,Clothing,"Camelid fiber, silk, metallic thread",ca. 17th century
124817,Relief Representation of Goatherd with Goat and Trees,,,Sculpture,Limestone,ca. 1350-1333 B.C.E.
125958,Bowl of Reflections,,,Ceramic,"Ceramic; fritware, painted in luster and blue over an opaque white glaze",early 13th century
152833,"Bowl in the Shape of a Gourd, Kyoto Ware",Artist,Nin'ami Dohachi,Ceramic,Stoneware with underglaze iron oxide decoration,mid-19th century
159680,Cylindrical Vessel,Culture,Maya,Vessel,"Ceramic, pigment",ca. 550-950 C.E.
163797,"Maharana Jawan Singh of Mewar Receiving the Governor General of India, Lord William Cavendish Bentinck, February 8th, 1832",Artist,Ghasi,Painting,"Opaque watercolor, gold and silver on cloth",ca. 1832
660,Jug,,,Vessel,Porcelain,1800-1810
933,Traveling Desk (Escritorio),,,Furnishing,"Cedar or walnut, citrus and other wood inlays, and iron",early 18th century
1149,Standing Woman,Artist,Gaston Lachaise,Sculpture,Bronze,1955-1956
1272,Emblems of the Civil War,Artist,Alexander Pope,Painting,Oil on canvas,1888
1308,"""Dragonfly"" Lamp",Designer,Clara Wolcott Driscoll,Light,"Glass, bronze, and lead",ca. 1900-1920
1394,Teapot with Cover,Manufacturer,Union Porcelain Works,Food/Drink,Porcelain,ca. 1876
1397,Sugar Bowl and Cover,Manufacturer,Union Porcelain Works,Ceramic,Porcelain,ca. 1876
1399,Vase,Designer,Karl L. H. Mueller,Ceramic,Porcelain,ca. 1876
1416,Statuette of Blacksmith,Manufacturer,Union Porcelain Works,Ceramic,Unglazed porcelain,ca. 1876
1785,"""Skyscraper"" Step Table",Maker,Paul T. Frankl,Furniture,Painted wood,late 1920s
1799,Vacuum Cleaner,Designer,Lurelle Guild,Tool,"Chromed, polished and enameled steel; cast aluminum; vinyl; rubber",ca. 1937
1890,"Scrimshaw, Whale's Tooth",Maker,Unknown,,Whale's tooth,ca. 1830-1870
2827,Doña María de la Luz Padilla y Gómez de Cervantes,Artist,Miguel Cabrera,Painting,Oil on canvas,ca. 1760
2980,Bottle Depicting a Hunting Scene,,,Ceramic,"Ceramic; fritware, painted in cobalt blue and black on an opaque white glaze",first half 17th century
3395,Relief of a Nobleman,,,Sculpture,"Limestone, pigment",ca. 1295-1070 B.C.E.
3483,Relief of an Aged Courtier,,,Sculpture,Limestone,ca. 1336-1250 B.C.E.
3519,Sarcophagus,,,Funerary Object,Granite,ca. 2555-2532 B.C.E.
3539,Relief of Men Presenting Cattle,,,Sculpture,Limestone,ca. 2500-2350 B.C.E.
3569,King Senwosret III,,,Sculpture,Granite,ca. 1836-1818 B.C.E.
3579,Ewer (Zhihu),,,Vessel,Porcelain with copper-red underglaze design,1279-1368
3615,"Head of Wesirwer, Priest of Montu",,,Sculpture,Schist,ca. 380-342 B.C.E.
3639,Relief of Akhty-hotep,,,Sculpture,Limestone,ca. 2650-2600 B.C.E.
3973,Shabty of Lady Sati,,,Funerary Object,Faience,ca. 1390-1352 B.C.E.
4029,Kneeling Figure of Harbes,,,Sculpture,Bronze,ca. 664-610 B.C.E.
4082,Circlet,,,Accessory,Gold,ca. 1295-1070 B.C.E.
4207,Bowl with Alternate Impressed and Red-polished Panels,Culture,Nubian,Vessel,Clay,ca. 3500-3300 B.C.E.
4959,Woman with Three Girls,Artist,József Rippl-Rónai,Painting,Oil on board,ca. 1909
5074,Bowl with an Enthronement Scene,,,Ceramic,"Ceramic, mina’i (enameled) or haft rangi (seven colors) ware; in-glaze painted in blue, turquoise, and purple on an opaque white glaze, overglaze painted in red and black, with leaf gilding",late 12th-early 13th century
12528,Portrait of a Gentleman/Mourning Miniature,Artist,Unknown,"Portrait, Miniatures",Watercolor on ivory with human hair housed in metal locket with glass lenses,late 18th century
44130,Poporo (Lime Container),Culture,Quimbaya,Vessel,Tumbaga (gold and copper alloy),1-600 C.E.
52953,The Virgin Mary with Indigenous (Aymara) Donors,Artist,Unknown,Painting,Oil on wood panel,1752
70578,Apkallu-figure Between Two Sacred Trees,Culture,Assyrian,Sculpture,"Gypsum stone, pigment",ca. 883-859 B.C.E.
97327,Red Blue Chair,Designer,Gerrit Th. Rietveld,Furniture,Painted beechwood,ca. 1917-1918
115344,Seated Divinity,,,Sculpture,Volcanic stone,9th century
116774,Tomb Relief of Itwesh,,,Sculpture,Limestone,ca. 2475-2345 B.C.E.
116843,Shabty of the Lady of the House Iuy,,,Funerary Object,Limestone,ca. 1539-1400 B.C.E.
117396,Plaque of the Goddess Hathor in Relief,,,Accessory,Gold,ca. 664-525 B.C.E. or later
118063,Bowl with Floral Decoration,,,Vessel,"Bronze, tin",525-404 B.C.E.
152733,"The Emperors Akbar, Jahangir, and Shah Jahan with Their Ministers and Prince Dara Shikoh",Artist,Chitaraman,Painting,Opaque watercolor and gold on paper,ca. 1630-1640
152865,Teapot from Raymor Modern Stoneware line,Designer,Ben Seibel,Food/Drink,Glazed earthenware,ca. 1952
155443,Inkstone with a Design of Plum Blossoms and Inscription by Wu Changshi,Artist,Wu Changshuo,"Time, Calendar",Stone relief,1909
159018,Figure of a Recumbent Dog,,,Sculpture,Gray earthenware with red polychrome,early 6th century
221,"On the Way between Old and New Cairo, Citadel Mosque of Mohammed Ali, and Tombs of the Mamelukes",Artist,Louis Comfort Tiffany,Painting,Oil on canvas,1872
301,Union Square,Artist,Julian Alden Weir,Painting,Oil on canvas,ca. 1879
307,Letitia Wilson Jordan,Artist,Thomas Eakins,Painting,Oil on canvas,1888
360,Martinique Woman,Artist,Malvina Hoffman,Sculpture,Black metamorphic stone,1928
957,"Four Inca Kings: Tupac Yupanqui, Huayna Capac, Huascar Inca, Atahuallpa",Artist,Unknown,Painting,Oil on canvas,early 19th century
1555,Lake George,Artist,John William Casilear,Painting,Oil on canvas,1857
1584,Columbus before the Queen,Artist,Emanuel Leutze,Painting,Oil on canvas,1843
1972,Bowl,Culture,Ancient Pueblo,Food/Drink,"Ceramic, pigment",900-1300 C.E.
